Product_ID,Product_Name,Category,Brand,Unit_Price
PROD0035,Backpack,Sports & Outdoors,BrightLux,294.8
PROD0036,Puzzle 1000pc,Books,BrightLux,357.76
PROD0037,Board Game,Electronics,CoreTech,448.89
PROD0038,Instant Pot,Electronics,ReadMore,300.89
PROD0039,Microphone,Home & Kitchen,FitLife,512.88
PROD0040,Smartwatch,Books,HomeEase,81.82
PROD0041,Desk Plant,Sports & Outdoors,Zenith,215.9
PROD0042,Water Bottle,Books,HomeEase,574.28
PROD0043,Kids Toy Car,Home & Kitchen,FitLife,109.59
PROD0044,Running Shoes,Toys & Games,HomeEase,88.46
PROD0045,Desk Plant,Electronics,Apex,395.64
PROD0046,Portable SSD 1TB,Toys & Games,HomeEase,449.14
PROD0047,Graphic Tablet,Electronics,CoreTech,121.45
PROD0048,Dress Shirt,Toys & Games,FitLife,140.89
PROD0049,Drone Mini,Books,ReadMore,249.84
PROD0050,Noise Cancelling Headphones,Books,KiddoFun,482.37
PROD0051,Memory Card 128GB,Books,FitLife,244.83
PROD0052,Graphic Tablet,Electronics,UrbanStyle,353.85
PROD0053,Novel Bestseller,Electronics,NexPro,324.76
PROD0054,Children's Book,Sports & Outdoors,FitLife,491.78
PROD0055,Power Bank 20000mAh,Electronics,NexPro,549.22
PROD0056,Power Bank 20000mAh,Home & Kitchen,Apex,364.08
PROD0057,Water Bottle,Sports & Outdoors,HomeEase,509.59
PROD0058,Laptop Sleeve,Clothing,UrbanStyle,182.55
PROD0059,Air Fryer,Toys & Games,Apex,184.7
PROD0060,Winter Jacket,Electronics,NexPro,439.8
PROD0061,Router,Books,BrightLux,593.02
PROD0062,Running Shoes,Home & Kitchen,ReadMore,131.36
PROD0063,USB-C Charger,Toys & Games,HomeEase,71.26
PROD0064,Router,Books,CoreTech,107.11
PROD0065,Graphic Tablet,Toys & Games,Zenith,417.28
PROD0066,Router,Books,FitLife,559.03
PROD0067,Car Charger,Home & Kitchen,BrightLux,203.84
PROD0068,4K Monitor,Clothing,Zenith,129.9
PROD0069,Novel Bestseller,Books,NexPro,105.16
PROD0070,Webcam Full HD,Electronics,BrightLux,82.79
PROD0071,Water Bottle,Sports & Outdoors,Zenith,433.7
PROD0072,Fitness Band,Home & Kitchen,Zenith,137.1
PROD0073,Winter Jacket,Toys & Games,CoreTech,582.66
PROD0074,Graphic Tablet,Home & Kitchen,CoreTech,522.56
PROD0075,Smartwatch,Sports & Outdoors,NexPro,354.18
PROD0076,Smartwatch,Clothing,CoreTech,437.47
PROD0077,Sunglasses,Toys & Games,NexPro,392.71
PROD0078,Fitness Band,Electronics,ReadMore,592.91
PROD0079,Portable SSD 1TB,Home & Kitchen,CoreTech,76.97
PROD0080,Mechanical Keyboard,Electronics,CoreTech,534.31
PROD0081,Smartwatch,Toys & Games,BrightLux,402.77
PROD0082,Dress Shirt,Home & Kitchen,ReadMore,335.1
PROD0083,Air Fryer,Books,UrbanStyle,258.13
PROD0084,Microphone,Sports & Outdoors,KiddoFun,594.67
PROD0085,Smart Light Bulb,Electronics,HomeEase,494.13
PROD0086,Electric Kettle,Sports & Outdoors,KiddoFun,15.47
PROD0087,Electric Kettle,Sports & Outdoors,UrbanStyle,28.59
PROD0088,Cookware Set,Electronics,HomeEase,456.58
PROD0089,T-Shirt,Books,Zenith,324.31
PROD0090,Instant Pot,Books,ReadMore,342.26
PROD0091,Air Fryer,Clothing,NexPro,201.16
PROD0092,Phone Tripod,Sports & Outdoors,ReadMore,555.99
PROD0093,Water Bottle,Home & Kitchen,UrbanStyle,138.56
PROD0094,Wireless Charger,Clothing,HomeEase,409.78
PROD0095,Phone Tripod,Electronics,KiddoFun,42.31
PROD0096,HDMI Cable 2m,Electronics,NexPro,170.88
PROD0097,Wireless Charger,Books,NexPro,548.17
PROD0098,Smart Light Bulb,Electronics,CoreTech,260.91
PROD0099,Jeans,Books,CoreTech,384.56
PROD0100,Cookware Set,Electronics,Apex,206.2
PROD0101,Vacuum Cleaner,Sports & Outdoors,ReadMore,369.47
PROD0102,Drone Mini,Books,FitLife,29.37
PROD0103,Phone Tripod,Home & Kitchen,Apex,159.82
PROD0104,Kids Toy Car,Toys & Games,CoreTech,548.39
PROD0105,Puzzle 1000pc,Electronics,HomeEase,99.05
PROD0106,Electric Kettle,Toys & Games,BrightLux,113.27
PROD0107,Smart Light Bulb,Sports & Outdoors,UrbanStyle,297.26
PROD0108,Desk Organizer,Clothing,HomeEase,483.5
PROD0109,Laptop Sleeve,Sports & Outdoors,HomeEase,127.42
PROD0110,Cookware Set,Sports & Outdoors,HomeEase,520.69
PROD0111,T-Shirt,Clothing,BrightLux,61.48
PROD0112,Water Bottle,Books,KiddoFun,314
PROD0113,Yoga Mat,Sports & Outdoors,UrbanStyle,189.7
PROD0114,Smart Light Bulb,Clothing,HomeEase,103.29
PROD0115,Noise Cancelling Headphones,Home & Kitchen,UrbanStyle,167.08
PROD0116,Backpack,Sports & Outdoors,KiddoFun,468.57
PROD0117,Projector Mini,Clothing,HomeEase,25.31
PROD0118,Gaming Mouse,Sports & Outdoors,KiddoFun,590.96
PROD0119,Portable SSD 1TB,Home & Kitchen,FitLife,433.24
PROD0120,Novel Bestseller,Books,CoreTech,187.75
PROD0121,Electric Kettle,Toys & Games,Zenith,230.99
PROD0122,4K Monitor,Sports & Outdoors,Zenith,246.13
PROD0123,Novel Bestseller,Home & Kitchen,ReadMore,18.66
PROD0124,HDMI Cable 2m,Clothing,HomeEase,48.99
PROD0125,Backpack,Sports & Outdoors,HomeEase,200.05
PROD0126,4K Monitor,Electronics,Apex,149.47
PROD0127,Winter Jacket,Sports & Outdoors,CoreTech,460.51
PROD0128,Novel Bestseller,Home & Kitchen,Zenith,141.31
PROD0129,Smartwatch,Books,Apex,204.15
PROD0130,Instant Pot,Books,BrightLux,577.36
PROD0131,Novel Bestseller,Electronics,ReadMore,509.27
PROD0132,Jeans,Clothing,Zenith,496.12
PROD0133,Sunglasses,Clothing,KiddoFun,497.74
PROD0134,HDMI Cable 2m,Books,UrbanStyle,384.81
PROD0135,Smartphone Case,Toys & Games,HomeEase,321.46
PROD0136,Action Camera,Toys & Games,ReadMore,498.26
PROD0137,Children's Book,Books,FitLife,211.88
PROD0138,Dress Shirt,Clothing,ReadMore,333.88
PROD0139,Instant Pot,Electronics,HomeEase,522.65
PROD0140,Laptop Sleeve,Toys & Games,UrbanStyle,67.78
PROD0141,Board Game,Books,Zenith,22.67
PROD0142,Electric Kettle,Home & Kitchen,UrbanStyle,544.52
PROD0143,Car Charger,Electronics,CoreTech,431.01
PROD0144,Children's Book,Books,NexPro,346.56
PROD0145,Graphic Tablet,Books,BrightLux,87.79
PROD0146,Instant Pot,Home & Kitchen,HomeEase,596.8
PROD0147,Instant Pot,Electronics,KiddoFun,194.17
PROD0148,Winter Jacket,Clothing,CoreTech,42.52
PROD0149,Board Game,Toys & Games,Apex,262.02
PROD0150,Portable SSD 1TB,Toys & Games,NexPro,43.8
PROD0151,Instant Pot,Clothing,ReadMore,306.01
PROD0152,T-Shirt,Sports & Outdoors,Zenith,251.6
PROD0153,Smartphone Case,Electronics,ReadMore,431.79
PROD0154,Cookware Set,Books,Apex,291.13
PROD0155,Running Shoes,Clothing,Apex,414.46
PROD0156,Sunglasses,Electronics,BrightLux,180.87
PROD0157,Memory Card 128GB,Sports & Outdoors,NexPro,104.18
PROD0158,Phone Tripod,Books,NexPro,400.69
PROD0159,Mechanical Keyboard,Home & Kitchen,FitLife,479.99
PROD0160,4K Monitor,Sports & Outdoors,CoreTech,247.54
PROD0161,Sunglasses,Toys & Games,FitLife,14.51
PROD0162,Vacuum Cleaner,Electronics,NexPro,216.33
PROD0163,Graphic Tablet,Home & Kitchen,ReadMore,38.53
PROD0164,Air Fryer,Electronics,NexPro,465.66
PROD0165,Instant Pot,Electronics,BrightLux,35.27
PROD0166,External HDD 2TB,Home & Kitchen,UrbanStyle,82.5
PROD0167,Desk Plant,Home & Kitchen,KiddoFun,298.96
PROD0168,Instant Pot,Toys & Games,NexPro,232.62
PROD0169,Fitness Band,Books,Apex,493.2
PROD0170,HDMI Cable 2m,Clothing,BrightLux,497.42
PROD0171,Novel Bestseller,Clothing,KiddoFun,154.24
PROD0172,Yoga Mat,Sports & Outdoors,UrbanStyle,497.52
PROD0173,Running Shoes,Books,UrbanStyle,64.53
PROD0174,Office Chair,Electronics,FitLife,331.21
PROD0175,Instant Pot,Clothing,NexPro,155.87
PROD0176,USB-C Charger,Clothing,CoreTech,598.75
PROD0177,Smart Light Bulb,Electronics,HomeEase,489.41
PROD0178,Gaming Mouse,Toys & Games,Zenith,131.22
PROD0179,Drone Mini,Toys & Games,HomeEase,176.38
PROD0180,Wireless Earbuds,Sports & Outdoors,CoreTech,418.7
PROD0181,Smartwatch,Home & Kitchen,ReadMore,531.4
PROD0182,Novel Bestseller,Books,CoreTech,341.7
PROD0183,Air Fryer,Electronics,ReadMore,375.82
PROD0184,Running Shoes,Home & Kitchen,FitLife,99.26
PROD0185,Sunglasses,Home & Kitchen,Zenith,572.09
PROD0186,Projector Mini,Toys & Games,UrbanStyle,495.32
PROD0187,Children's Book,Sports & Outdoors,Zenith,190.82
PROD0188,USB-C Charger,Home & Kitchen,BrightLux,50.92
PROD0189,Puzzle 1000pc,Toys & Games,FitLife,129.25
PROD0190,Car Charger,Sports & Outdoors,Zenith,416.84
PROD0191,Dress Shirt,Sports & Outdoors,KiddoFun,319.28
PROD0192,Microphone,Books,Zenith,67.54
PROD0193,Noise Cancelling Headphones,Toys & Games,ReadMore,289.23
PROD0194,LED Desk Lamp,Home & Kitchen,ReadMore,373.58
PROD0195,Portable SSD 1TB,Sports & Outdoors,Zenith,359.89
PROD0196,Sunglasses,Toys & Games,NexPro,449.1
PROD0197,Instant Pot,Electronics,ReadMore,270.41
PROD0198,LED Desk Lamp,Home & Kitchen,CoreTech,387.31
PROD0199,Wireless Charger,Books,Apex,272.14
PROD0200,Desk Organizer,Home & Kitchen,FitLife,420.62
PROD0201,Kids Toy Car,Clothing,HomeEase,575.93
PROD0202,LED Desk Lamp,Toys & Games,BrightLux,167.97
PROD0203,4K Monitor,Toys & Games,UrbanStyle,471.14
PROD0204,Webcam Full HD,Toys & Games,UrbanStyle,461.7
PROD0205,Smart Light Bulb,Sports & Outdoors,FitLife,303.77
PROD0206,Electric Kettle,Electronics,NexPro,312.36
PROD0207,Car Charger,Books,Zenith,59.09
PROD0208,Water Bottle,Books,ReadMore,266.91
PROD0209,Kids Toy Car,Electronics,KiddoFun,568.01
PROD0210,Children's Book,Books,UrbanStyle,454.72
PROD0211,Desk Plant,Books,BrightLux,189.12
PROD0212,Board Game,Home & Kitchen,BrightLux,104.68
PROD0213,Children's Book,Sports & Outdoors,BrightLux,116.03
PROD0214,Electric Kettle,Clothing,Apex,83.31
PROD0215,Bluetooth Speaker,Electronics,KiddoFun,556.68
PROD0216,Air Fryer,Home & Kitchen,HomeEase,404.76
PROD0217,Laptop Sleeve,Toys & Games,FitLife,470.82
PROD0218,Smartphone Case,Home & Kitchen,Zenith,88.24
PROD0219,Backpack,Home & Kitchen,Apex,410.9
PROD0220,Running Shoes,Clothing,NexPro,485.32
PROD0221,Jeans,Clothing,Apex,49.31
PROD0222,Electric Kettle,Sports & Outdoors,CoreTech,389.67
PROD0223,Router,Home & Kitchen,FitLife,450.05
PROD0224,Vacuum Cleaner,Home & Kitchen,ReadMore,137.33
PROD0225,Wireless Charger,Home & Kitchen,BrightLux,114.61
PROD0226,Sunglasses,Electronics,CoreTech,303.23
PROD0227,Cookware Set,Toys & Games,HomeEase,377.77
PROD0228,Office Chair,Electronics,BrightLux,165.72
PROD0229,Wireless Charger,Electronics,Apex,404.33
PROD0230,Puzzle 1000pc,Toys & Games,UrbanStyle,493.81
PROD0231,Smartwatch,Home & Kitchen,CoreTech,590.17
PROD0232,Sunglasses,Toys & Games,FitLife,426.66
PROD0233,Laptop Sleeve,Home & Kitchen,UrbanStyle,512.13
PROD0234,Noise Cancelling Headphones,Toys & Games,FitLife,139.59
PROD0235,Desk Organizer,Clothing,Zenith,130.46
PROD0236,Dress Shirt,Electronics,Apex,574.24
PROD0237,Memory Card 128GB,Clothing,KiddoFun,432.72
PROD0238,Backpack,Electronics,CoreTech,73.55
PROD0239,Water Bottle,Electronics,KiddoFun,257.51
PROD0240,Novel Bestseller,Clothing,FitLife,338.76
PROD0241,Desk Plant,Electronics,CoreTech,139.97
PROD0242,Jeans,Electronics,KiddoFun,202.98
PROD0243,Microphone,Home & Kitchen,KiddoFun,319.11
PROD0244,Drone Mini,Home & Kitchen,Zenith,370.47
PROD0245,USB-C Charger,Clothing,BrightLux,45.49
PROD0246,Drone Mini,Clothing,Apex,116.12
PROD0247,Action Camera,Electronics,BrightLux,297.86
PROD0248,Drone Mini,Toys & Games,FitLife,89.26
PROD0249,Fitness Band,Electronics,FitLife,73.54
PROD0250,Smart Light Bulb,Home & Kitchen,CoreTech,214.42
PROD0251,Graphic Tablet,Home & Kitchen,CoreTech,234.78
PROD0252,Drone Mini,Clothing,Apex,274.55
PROD0253,Bluetooth Speaker,Electronics,Apex,187.41
PROD0254,Kids Toy Car,Books,BrightLux,230.36
PROD0255,Jeans,Electronics,ReadMore,259.57
PROD0256,Running Shoes,Electronics,Zenith,428.27
PROD0257,Fitness Band,Books,CoreTech,428.5
PROD0258,Cookware Set,Clothing,Zenith,101.42
PROD0259,Car Charger,Sports & Outdoors,UrbanStyle,177.35
PROD0260,Bluetooth Speaker,Sports & Outdoors,Apex,276.27
PROD0261,Gaming Mouse,Electronics,CoreTech,220.49
PROD0262,Instant Pot,Books,NexPro,55.8
PROD0263,Portable SSD 1TB,Home & Kitchen,Zenith,520.47
PROD0264,Novel Bestseller,Home & Kitchen,Zenith,567.72
PROD0265,Webcam Full HD,Toys & Games,Zenith,451.53
PROD0266,Smart Light Bulb,Electronics,BrightLux,594.86
PROD0267,Smartwatch,Toys & Games,Apex,349.96
PROD0268,Vacuum Cleaner,Home & Kitchen,Zenith,492.27
PROD0269,Graphic Tablet,Sports & Outdoors,Apex,94.16
PROD0270,Desk Plant,Books,FitLife,348.88
PROD0271,Board Game,Sports & Outdoors,UrbanStyle,85.61
PROD0272,Smartwatch,Home & Kitchen,CoreTech,476.94
PROD0273,Mechanical Keyboard,Clothing,CoreTech,85.54
PROD0274,Mechanical Keyboard,Home & Kitchen,UrbanStyle,312.92
PROD0275,Children's Book,Electronics,FitLife,493.21
PROD0276,Dress Shirt,Toys & Games,BrightLux,486.32
PROD0277,Sunglasses,Electronics,BrightLux,232.43
PROD0278,Router,Sports & Outdoors,HomeEase,171.64
PROD0279,Jeans,Electronics,ReadMore,436.76
PROD0280,Power Bank 20000mAh,Books,HomeEase,152.56
PROD0281,Portable SSD 1TB,Books,NexPro,217.88
PROD0282,Instant Pot,Sports & Outdoors,KiddoFun,349.83
PROD0283,Sunglasses,Sports & Outdoors,HomeEase,25.8
PROD0284,Jeans,Toys & Games,FitLife,235.08
PROD0285,Children's Book,Toys & Games,ReadMore,485.49
PROD0286,External HDD 2TB,Books,Zenith,126.21
PROD0287,Wireless Earbuds,Toys & Games,UrbanStyle,436.44
PROD0288,Mechanical Keyboard,Toys & Games,KiddoFun,465.84
PROD0289,Desk Plant,Books,Apex,41.51
PROD0290,Yoga Mat,Sports & Outdoors,Zenith,57.26
PROD0291,Wireless Charger,Home & Kitchen,NexPro,432.19
PROD0292,Smartwatch,Electronics,FitLife,402.92
PROD0293,Drone Mini,Home & Kitchen,KiddoFun,541.68
PROD0294,T-Shirt,Electronics,Apex,276.6
PROD0295,LED Desk Lamp,Books,Apex,466.02
PROD0296,Board Game,Toys & Games,Apex,464.46
PROD0297,Bluetooth Speaker,Electronics,CoreTech,331.2
PROD0298,Bluetooth Speaker,Clothing,Zenith,97.45
PROD0299,Desk Plant,Electronics,UrbanStyle,540.72
PROD0300,Wireless Earbuds,Books,ReadMore,308.26
PROD0301,Webcam Full HD,Sports & Outdoors,Apex,41.57
PROD0302,Smartphone Case,Electronics,CoreTech,213.75
PROD0303,Dress Shirt,Electronics,BrightLux,113.48
PROD0304,Novel Bestseller,Toys & Games,BrightLux,518.09
PROD0305,Water Bottle,Electronics,KiddoFun,169.12
PROD0306,Smartwatch,Home & Kitchen,Apex,476.83
PROD0307,Dress Shirt,Clothing,Apex,560.82
PROD0308,Kids Toy Car,Toys & Games,UrbanStyle,573.93
PROD0309,Children's Book,Toys & Games,Apex,179.25
PROD0310,USB-C Charger,Electronics,Zenith,400.83
PROD0311,Bluetooth Speaker,Toys & Games,ReadMore,319.07
PROD0312,Projector Mini,Books,BrightLux,582.15
PROD0313,Sunglasses,Books,BrightLux,458.05
PROD0314,Children's Book,Toys & Games,NexPro,33.87
PROD0315,Desk Plant,Sports & Outdoors,NexPro,528.48
PROD0316,Laptop Sleeve,Electronics,CoreTech,539.52
PROD0317,Cookware Set,Clothing,ReadMore,155.41
PROD0318,Bluetooth Speaker,Toys & Games,CoreTech,487.41
PROD0319,Electric Kettle,Books,Apex,595.34
PROD0320,Noise Cancelling Headphones,Home & Kitchen,ReadMore,274.82
PROD0321,Kids Toy Car,Toys & Games,Apex,426.38
PROD0322,Office Chair,Home & Kitchen,Zenith,412.78
PROD0323,Office Chair,Toys & Games,BrightLux,153.06
PROD0324,Memory Card 128GB,Home & Kitchen,FitLife,234.78
PROD0325,LED Desk Lamp,Sports & Outdoors,NexPro,120.94
PROD0326,Children's Book,Toys & Games,UrbanStyle,161.85
PROD0327,HDMI Cable 2m,Sports & Outdoors,Apex,246.53
PROD0328,External HDD 2TB,Toys & Games,CoreTech,152.22
PROD0329,Puzzle 1000pc,Books,HomeEase,489.79
PROD0330,Vacuum Cleaner,Home & Kitchen,FitLife,94.03
PROD0331,Sunglasses,Toys & Games,Zenith,295.94
PROD0332,Air Fryer,Sports & Outdoors,HomeEase,352.82
PROD0333,Office Chair,Toys & Games,HomeEase,240.55
PROD0334,Sunglasses,Toys & Games,CoreTech,389.23
PROD0335,Wireless Earbuds,Home & Kitchen,KiddoFun,400.38
PROD0336,Action Camera,Electronics,ReadMore,501.07
PROD0337,Running Shoes,Clothing,UrbanStyle,296.93
PROD0338,Mechanical Keyboard,Home & Kitchen,CoreTech,30.67
PROD0339,Mechanical Keyboard,Books,UrbanStyle,559.24
PROD0340,Smartphone Case,Toys & Games,KiddoFun,72.83
PROD0341,Desk Plant,Toys & Games,KiddoFun,94.51
PROD0342,Drone Mini,Books,HomeEase,487.8
PROD0343,Microphone,Toys & Games,KiddoFun,203.88
PROD0344,Running Shoes,Books,Zenith,39.9
PROD0345,Drone Mini,Books,HomeEase,56.87
PROD0346,Router,Sports & Outdoors,Apex,369.08
PROD0347,Wireless Earbuds,Home & Kitchen,NexPro,410.33
PROD0348,Office Chair,Home & Kitchen,Apex,29.1
PROD0349,Router,Books,FitLife,116.97
PROD0350,Portable SSD 1TB,Sports & Outdoors,Apex,548.98
PROD0351,Phone Tripod,Books,BrightLux,578.85
PROD0352,Microphone,Toys & Games,ReadMore,366.04
PROD0353,Vacuum Cleaner,Electronics,HomeEase,400.22
PROD0354,Microphone,Toys & Games,Apex,597.49
PROD0355,Wireless Earbuds,Sports & Outdoors,HomeEase,57.37
PROD0356,Mechanical Keyboard,Home & Kitchen,BrightLux,327.8
PROD0357,Wireless Charger,Clothing,UrbanStyle,453.11
PROD0358,Noise Cancelling Headphones,Electronics,BrightLux,138.19
PROD0359,External HDD 2TB,Books,FitLife,569.77
PROD0360,Kids Toy Car,Home & Kitchen,FitLife,392.25
PROD0361,Wireless Charger,Toys & Games,ReadMore,131.34
PROD0362,Noise Cancelling Headphones,Clothing,BrightLux,530.31
PROD0363,Desk Organizer,Home & Kitchen,KiddoFun,62.04
PROD0364,Memory Card 128GB,Books,HomeEase,591.4
PROD0365,LED Desk Lamp,Sports & Outdoors,CoreTech,104.87
PROD0366,Wireless Charger,Books,HomeEase,436.37
PROD0367,Action Camera,Electronics,UrbanStyle,172.84
PROD0368,Air Fryer,Sports & Outdoors,Zenith,43.51
PROD0369,Running Shoes,Electronics,NexPro,275.24
PROD0370,Desk Organizer,Sports & Outdoors,ReadMore,575.93
PROD0371,Electric Kettle,Clothing,UrbanStyle,156.92
PROD0372,Microphone,Electronics,Zenith,210.04
PROD0373,Dress Shirt,Toys & Games,UrbanStyle,591.47
PROD0374,Winter Jacket,Toys & Games,BrightLux,345.41
PROD0375,Board Game,Clothing,KiddoFun,426.35
PROD0376,Children's Book,Home & Kitchen,NexPro,100.2
PROD0377,Projector Mini,Sports & Outdoors,HomeEase,317.21
PROD0378,Kids Toy Car,Sports & Outdoors,UrbanStyle,430.49
PROD0379,Action Camera,Toys & Games,Zenith,47.17
PROD0380,Drone Mini,Electronics,Zenith,427.06
PROD0381,Action Camera,Home & Kitchen,Zenith,40.92
PROD0382,LED Desk Lamp,Toys & Games,ReadMore,106.51
PROD0383,Noise Cancelling Headphones,Clothing,NexPro,281.89
PROD0384,Puzzle 1000pc,Books,HomeEase,413.76
PROD0385,Smart Light Bulb,Home & Kitchen,UrbanStyle,175.99
PROD0386,4K Monitor,Toys & Games,Apex,13.87
PROD0387,Puzzle 1000pc,Home & Kitchen,KiddoFun,555.21
PROD0388,Projector Mini,Toys & Games,Apex,172.46
PROD0389,Children's Book,Home & Kitchen,HomeEase,291.26
PROD0390,Cookware Set,Toys & Games,CoreTech,44.09
PROD0391,Graphic Tablet,Books,Apex,412.81
PROD0392,Router,Electronics,KiddoFun,477.24
PROD0393,Air Fryer,Toys & Games,UrbanStyle,278.87
PROD0394,Webcam Full HD,Electronics,NexPro,99.56
PROD0395,Novel Bestseller,Books,BrightLux,77.65
PROD0396,HDMI Cable 2m,Home & Kitchen,BrightLux,567.89
PROD0397,Vacuum Cleaner,Home & Kitchen,Zenith,436.96
PROD0398,Webcam Full HD,Clothing,Zenith,236.65
PROD0399,Smartwatch,Electronics,UrbanStyle,124.35
PROD0400,Children's Book,Sports & Outdoors,CoreTech,388.55
PROD0401,Puzzle 1000pc,Books,Apex,409.25
PROD0402,Electric Kettle,Home & Kitchen,HomeEase,466.29
PROD0403,Novel Bestseller,Home & Kitchen,FitLife,321.01
PROD0404,Running Shoes,Toys & Games,Apex,145.75
PROD0405,Office Chair,Books,Apex,557.97
PROD0406,Smart Light Bulb,Electronics,HomeEase,353.9
PROD0407,Sunglasses,Sports & Outdoors,FitLife,7.14
PROD0408,Graphic Tablet,Books,Apex,237.5
PROD0409,Sunglasses,Sports & Outdoors,FitLife,133.39
PROD0410,Smartphone Case,Sports & Outdoors,KiddoFun,262.9
PROD0411,LED Desk Lamp,Home & Kitchen,FitLife,446.18
PROD0412,Air Fryer,Clothing,NexPro,187.2
PROD0413,Webcam Full HD,Clothing,CoreTech,52.83
PROD0414,Laptop Sleeve,Electronics,Apex,451.4
PROD0415,Yoga Mat,Home & Kitchen,UrbanStyle,532.69
PROD0416,Instant Pot,Clothing,UrbanStyle,52.02
PROD0417,Backpack,Books,KiddoFun,514.98
PROD0418,Dress Shirt,Electronics,ReadMore,557.57
PROD0419,Action Camera,Home & Kitchen,Zenith,495.51
PROD0420,Smart Light Bulb,Home & Kitchen,Zenith,26.26
PROD0421,Gaming Mouse,Electronics,CoreTech,177.18
PROD0422,External HDD 2TB,Books,NexPro,168.62
PROD0423,Desk Plant,Home & Kitchen,KiddoFun,254.34
PROD0424,Gaming Mouse,Sports & Outdoors,Apex,125.23
PROD0425,Children's Book,Home & Kitchen,CoreTech,556.34
PROD0426,Microphone,Electronics,BrightLux,124.17
PROD0427,Cookware Set,Sports & Outdoors,BrightLux,234.48
PROD0428,Water Bottle,Sports & Outdoors,FitLife,326.46
PROD0429,Drone Mini,Toys & Games,NexPro,147
PROD0430,Microphone,Toys & Games,FitLife,238.49
PROD0431,USB-C Charger,Toys & Games,HomeEase,464.26
PROD0432,Backpack,Electronics,CoreTech,162.19
PROD0433,USB-C Charger,Sports & Outdoors,Zenith,416.04
PROD0434,Novel Bestseller,Electronics,KiddoFun,446.28
PROD0435,Novel Bestseller,Home & Kitchen,FitLife,34.57
PROD0436,Router,Toys & Games,CoreTech,281.76
PROD0437,Puzzle 1000pc,Home & Kitchen,Zenith,36.14
PROD0438,USB-C Charger,Clothing,ReadMore,589.23
PROD0439,Desk Organizer,Sports & Outdoors,NexPro,108.48
PROD0440,Kids Toy Car,Toys & Games,UrbanStyle,446.24
PROD0441,Kids Toy Car,Electronics,NexPro,439.14
PROD0442,Desk Organizer,Clothing,ReadMore,225.16
PROD0443,Mechanical Keyboard,Home & Kitchen,ReadMore,430.44
PROD0444,Wireless Charger,Toys & Games,CoreTech,197.15
PROD0445,Car Charger,Home & Kitchen,NexPro,68.55
PROD0446,Electric Kettle,Books,Zenith,565.14
PROD0447,Kids Toy Car,Home & Kitchen,UrbanStyle,380.51
PROD0448,Desk Organizer,Sports & Outdoors,Apex,73.63
PROD0449,Drone Mini,Home & Kitchen,FitLife,126.64
PROD0450,Noise Cancelling Headphones,Electronics,FitLife,81.66
PROD0451,Vacuum Cleaner,Home & Kitchen,CoreTech,32.95
PROD0452,Cookware Set,Toys & Games,HomeEase,481.52
PROD0453,Drone Mini,Sports & Outdoors,ReadMore,30.73
PROD0454,Power Bank 20000mAh,Books,CoreTech,425.5
PROD0455,Graphic Tablet,Sports & Outdoors,NexPro,456.47
PROD0456,External HDD 2TB,Home & Kitchen,KiddoFun,129.68
PROD0457,Action Camera,Clothing,BrightLux,436.19
PROD0458,Sunglasses,Sports & Outdoors,CoreTech,406.52
PROD0459,Electric Kettle,Home & Kitchen,CoreTech,533.72
PROD0460,Graphic Tablet,Electronics,FitLife,93.25
